drug_query,nct_id,brief_title,phase,enrollment,start_date,completion_date
tirzepatide,NCT05706506,A Study of Tirzepatide (LY3298176) in Adults With Type 2 Diabetes Switching From a GLP-1 RA (SURPASS-SWITCH-2),PHASE4,152,2023-03-08,2023-10-31
tirzepatide,NCT04081337,A Study to Measure Energy Expenditure and Food Intake in Participants With Obesity Using Tirzepatide,PHASE1,55,2020-07-09,2022-05-26
tirzepatide,NCT07088718,Prediction of the SURPASS-CVOT Cardiovascular Outcome Trial in Healthcare Claims Data,,44671,2024-10-01,2025-07-30
tirzepatide,NCT06445075,Efficacy and Safety of Apitegromab for the Treatment of Adults Who Are Overweight or Obese,PHASE2,102,2024-05-21,2025-06-17
tirzepatide,NCT06297616,A Study of LY3841136 in Japanese Participants With Obesity or Overweight,PHASE1,128,2024-04-15,2025-11-21
tirzepatide,NCT05766358,Role Of Metabolic Adaptation In Weight Regain,,27,2022-10-06,2024-05-24
tirzepatide,NCT07382180,Real-World Tirzepatide Therapy in Post-Bariatric Weight Regain and Preoperative Obesity Patients,,254,2025-02-01,2026-01-18
tirzepatide,NCT04657003,A Study of Tirzepatide (LY3298176) in Participants With Type 2 Diabetes Who Have Obesity or Are Overweight,PHASE3,938,2021-03-29,2023-04-10
tirzepatide,NCT04407234,A Study to Measure Stomach Emptying in Overweight Non-diabetic and Diabetic Participants Using Tirzepatide,PHASE1,36,2020-09-15,2021-01-07
tirzepatide,NCT04847557,A Study of Tirzepatide (LY3298176) in Participants With Heart Failure With Preserved Ejection Fraction (HFpEF) and Obesity: The SUMMIT Trial,PHASE3,731,2021-04-20,2024-07-02
tirzepatide,NCT06326060,A Research Study Comparing How Well Different Doses of the Medicine NN0519-0130 Help People With Excess Body Weight Lose Weight,PHASE2,354,2024-03-18,2025-05-01
tirzepatide,NCT04657016,A Study of Tirzepatide (LY3298176) In Participants After A Lifestyle Weight Loss Program,PHASE3,579,2021-03-29,2023-05-12
tirzepatide,NCT04660643,A Study of Tirzepatide (LY3298176) in Participants With Obesity or Overweight for the Maintenance of Weight Loss,PHASE3,783,2021-03-29,2023-05-18
tirzepatide,NCT06047548,A Study of LY3298176 (Tirzepatide) For the Maintenance of Body Weight Reduction in Participants Who Have Obesity or Overweight With Weight-Related Comorbidities,PHASE3,441,2023-09-20,2026-01-20
tirzepatide,NCT06345066,A Study of LY3841136 in Overweight and Obese Participants,PHASE1,96,2024-04-03,2025-09-29
tirzepatide,NCT04844918,A Study of Tirzepatide (LY3298176) in Participants With Obesity Disease,PHASE3,267,2021-05-10,2023-06-24
tirzepatide,NCT05963022,A Study of Tirzepatide (LY3298176) in Chinese Participants With Type 2 Diabetes (SURPASS-CN-MONO),PHASE3,206,2023-08-21,2024-10-09
tirzepatide,NCT05696847,A Study of Tirzepatide (LY3298176) in Pediatric Participants With Obesity,PHASE1,28,2023-02-07,2025-01-16
tirzepatide,NCT05564039,A Study of Tirzepatide (LY3298176) in Adult Participants With Type 2 Diabetes Switching From Dulaglutide (SURPASS-SWITCH),PHASE4,282,2022-11-30,2024-08-12
tirzepatide,NCT06916065,A Study of Eloralintide (LY3841136) and Eloralintide With Tirzepatide in Participants With Overweight or Obesity,PHASE1,188,2025-04-09,2026-01-19
tirzepatide,NCT05412004,Obstructive Sleep Apnea Master Protocol GPIF: A Study of Tirzepatide (LY3298176) in Participants With Obstructive Sleep Apnea,PHASE3,469,2022-06-21,2024-03-29
